Name,Input_RM_Ex1,,,,,,,,,,,,,,,,,,,,,,,,,,
Phys,TOSOF0,11,0.08345,0.08345,0.08345,0.08375,0.08375,0.08375,0.08875,0.08875,0.08875,0.08875,0.08875,,,,,,,,,,,,,,
Phys,TOSOF1,11,0.01,0.01,0.01,0.01,0.01,0.01,0.005,0.005,0.005,0.005,0.005,,,,,,,,,,,,,,
Phys,TOSOF2,11,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,,,,,,,,,,,,,
Lung,DepFracLET,3,0.121,0.121,0.121,,,,,,,,,,,,,,,,,,,,,,
Lung,DepFracLTB,3,0.098,0.098,0.098,,,,,,,,,,,,,,,,,,,,,,
Lung,DepFracLalv,3,0.203,0.203,0.203,,,,,,,,,,,,,,,,,,,,,,
Lung,RLETplas,3,1.43,0.143,0.143,,,,,,,,,,,,,,,,,,,,,,
Lung,RLETstom,3,100,100,100,,,,,,,,,,,,,,,,,,,,,,
Lung,RLTBplas,3,3.79,0.379,0.379,,,,,,,,,,,,,,,,,,,,,,
Lung,RLTBLET,3,2.77,2.77,2.77,,,,,,,,,,,,,,,,,,,,,,
Lung,RLalvPlas,3,3.12,0.312,0.312,,,,,,,,,,,,,,,,,,,,,,
Lung,RLalvLTB,3,0.002,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,
Lung,RLalvLint,3,0.001,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,
Lung,RLintPlas,3,3.12,0.312,0.312,,,,,,,,,,,,,,,,,,,,,,
Air,sources,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Air,conc_ages,12,0,10950,12072,12073,12184,12185,12196,12197,12408,12409,12520,12521,,,,,,,,,,,,,
Air,concs1,12,0,0,0,148,148,157,157,148,148,147,147,0,,,,,,,,,,,,,
Air,intake_ages,12,0,10950,12072,12073,12184,12185,12196,12197,12408,12409,12520,12521,,,,,,,,,,,,,
Air,intake_amt,12,6,12.96,12.96,0.81,0.81,1.62,1.62,2.43,2.43,3.213,3.213,0,,,,,,,,,,,,,
Air,frac1,12,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
Air,RBA,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Food,sources,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Food,source_ages,20,0,365,730,1825,2920,3650,5475,7300,9125,11680,12072,12073,12184,12185,12296,12297,12408,12409,12520,12521,,,,,
Food,source_amt1,20,30,30,62,83,95,120,135,129,129,112,125,119,119,191,191,138,138,116,116,139,,,,,
Food,RBA,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Other,sources,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Other,source_ages,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Other,source_amt1,1,204,,,,,,,,,,,,,,,,,,,,,,,,
Other,RBA,1,1,,,,,,,,,,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,,,,,,,,,,
