Name,Input_RM_Ex3,,,,,,,,,,,,,,,,,,,,,,,,,,
Phys,TOSOF0,11,0.08345,0.08345,0.08345,0.08375,0.08375,0.08375,0.08875,0.08875,0.08875,0.08875,0.08875,,,,,,,,,,,,,,
Phys,TOSOF1,11,0.01,0.01,0.01,0.01,0.01,0.01,0.005,0.005,0.005,0.005,0.005,,,,,,,,,,,,,,
Phys,TOSOF2,11,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,,,,,,,,,,,,,
Lung,DepFracLET,3,0.518,0.516,0.2,,,,,,,,,,,,,,,,,,,,,,
Lung,DepFracLTB,3,0.119,0.104,0.159,,,,,,,,,,,,,,,,,,,,,,
Lung,DepFracLalv,3,0.14,0.145,0.04,,,,,,,,,,,,,,,,,,,,,,
Lung,RLETplas,3,0.317,0.301,7.68,,,,,,,,,,,,,,,,,,,,,,
Lung,RLETstom,3,100,100,0,,,,,,,,,,,,,,,,,,,,,,
Lung,RLTBplas,3,0.415,0.38,1.94,,,,,,,,,,,,,,,,,,,,,,
Lung,RLTBLET,3,2.77,2.77,0,,,,,,,,,,,,,,,,,,,,,,
Lung,RLalvPlas,3,0.712,0.662,0.347,,,,,,,,,,,,,,,,,,,,,,
Lung,RLalvLTB,3,0.002,0.002,0,,,,,,,,,,,,,,,,,,,,,,
Lung,RLalvLint,3,0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,
Lung,RLintPlas,3,0.712,0.662,0,,,,,,,,,,,,,,,,,,,,,,
Air,sources,2,2,,,,,,,,,,,,,,,,,,,,,,,,
Air,conc_ages,4,0,3650,7300,14600,,,,,,,,,,,,,,,,,,,,,
Air,concs1,4,0,0,50,0,,,,,,,,,,,,,,,,,,,,,
Air,concs2,4,0,0,50,0,,,,,,,,,,,,,,,,,,,,,
Air,mask1,4,1,365,210,224,,,,,,,,,,,,,,,,,,,,,
Air,mask2,4,1,365,335,365,,,,,,,,,,,,,,,,,,,,,
Air,mask3,4,1,7,6,7,,,,,,,,,,,,,,,,,,,,,
Air,mask4,4,2,365,210,224,,,,,,,,,,,,,,,,,,,,,
Air,mask5,4,2,365,335,365,,,,,,,,,,,,,,,,,,,,,
Air,mask6,4,2,7,6,7,,,,,,,,,,,,,,,,,,,,,
Air,intake_ages,4,0,3650,7300,14600,,,,,,,,,,,,,,,,,,,,,
Air,intake_amt,4,9.6,11.52,5.16,10,,,,,,,,,,,,,,,,,,,,,
Air,frac1,4,1,1,0.42,1,,,,,,,,,,,,,,,,,,,,,
Air,frac2,4,0,0,0.58,0,,,,,,,,,,,,,,,,,,,,,
Air,RBA,2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,
Other,sources,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Other,source_ages,16,0,100.01,182.5,365,730,1095,1825,2555,3650,4380,5475,6205,7300,9125,10950,14600,,,,,,,,,
Other,source_amt1,16,1.07142857142857,0.964285714285714,2.14285714285714,2.67857142857143,2.97321428571429,3.46428571428571,4.44642857142857,5.08928571428571,5.76785714285714,8.03571428571428,10.8482142857143,6.02678571428571,3.86607142857143,4.44642857142857,4.77678571428571,5.08035714285714,,,,,,,,,
Other,RBA,1,1,,,,,,,,,,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,,,,,,,,,,
